ACF Ethanol Futures
12/31/10 06:00 PM,ACF Ethanol Futures,F,1,0,11,0,2.360,2.385,2.360,----,2.378,52,2.348,96,321
12/31/10 06:00 PM,ACF Ethanol Futures,F,2,0,11,0,2.305,2.325,2.305,----,2.320,58,2.286,72,796
12/31/10 06:00 PM,ACF Ethanol Futures,F,3,0,11,0,2.305,2.325,2.305,----,2.322,27,2.291,14,1125
12/31/10 06:00 PM,ACF Ethanol Futures,F,4,0,11,0,2.325,2.329,2.325,----,2.329,9,2.301,15,699
12/31/10 06:00 PM,ACF Ethanol Futures,F,5,0,11,0,2.330,2.346,2.330,----,2.346,18,2.310,7,428
12/31/10 06:00 PM,ACF Ethanol Futures,F,6,0,11,0,----,2.346B,----,----,2.349,0,2.313,47,555
12/31/10 06:00 PM,ACF Ethanol Futures,F,7,0,11,0,2.335,2.350,2.335,----,2.350,10,2.315,2,718
12/31/10 06:00 PM,ACF Ethanol Futures,F,8,0,11,0,2.320,2.330,2.320,----,2.328,21,2.298,1,733
12/31/10 06:00 PM,ACF Ethanol Futures,F,9,0,11,0,2.273,2.273,2.265,----,2.267,35,2.240,1,290
12/31/10 06:00 PM,ACF Ethanol Futures,F,10,0,11,0,2.188,2.200,2.188,----,2.198,37,2.173,12,319
12/31/10 06:00 PM,ACF Ethanol Futures,F,11,0,11,0,2.163,2.170,2.163,----,2.166,6,2.143,10,428
12/31/10 06:00 PM,ACF Ethanol Futures,F,12,0,11,0,2.160,2.160,2.160,----,2.160,5,2.138,11,506
12/31/10 06:00 PM,ACF Ethanol Futures,F,1,0,12,0,----,2.141B,----,----,2.141,0,2.113,2,206
12/31/10 06:00 PM,ACF Ethanol Futures,F,2,0,12,0,----,2.130B,----,----,2.150,0,2.120,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,3,0,12,0,----,2.130B,----,----,2.150,0,2.120,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,4,0,12,0,----,2.130B,----,----,2.150,0,2.120,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,5,0,12,0,----,----,----,----,2.150,0,2.120,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,6,0,12,0,----,----,----,----,2.150,0,2.120,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,7,0,12,0,----,----,----,----,2.150,0,2.120,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,8,0,12,0,----,----,----,----,2.150,0,2.120,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,9,0,12,0,----,----,----,----,2.150,0,2.120,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,10,0,12,0,----,----,----,----,2.150,0,2.120,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,11,0,12,0,----,----,----,----,2.150,0,2.120,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,12,0,12,0,----,----,----,----,2.150,0,2.120,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,1,0,13,0,----,----,----,----,2.150,0,2.120,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,2,0,13,0,----,----,----,----,2.155,0,2.125,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,3,0,13,0,----,----,----,----,2.155,0,2.125,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,4,0,13,0,----,----,----,----,2.155,0,2.125,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,5,0,13,0,----,----,----,----,2.155,0,2.125,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,6,0,13,0,----,----,----,----,2.155,0,2.125,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,7,0,13,0,----,----,----,----,2.155,0,2.125,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,8,0,13,0,----,----,----,----,2.155,0,2.125,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,9,0,13,0,----,----,----,----,2.155,0,2.125,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,10,0,13,0,----,----,----,----,2.155,0,2.125,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,11,0,13,0,----,----,----,----,2.155,0,2.125,0,0
12/31/10 06:00 PM,ACF Ethanol Futures,F,12,0,13,0,----,----,----,----,2.155,0,2.125,0,0
AIR AIRASIA SSF
12/31/10 06:00 PM,AIR AIRASIA SSF,F,1,0,11,0,----,----,----,----,----,0,2.54,0,0
12/31/10 06:00 PM,AIR AIRASIA SSF,F,3,0,11,0,----,----,----,----,----,0,2.54,0,0
12/31/10 06:00 PM,AIR AIRASIA SSF,F,6,0,11,0,----,----,----,----,----,0,2.54,0,0
AMM AMMB SSF
12/31/10 06:00 PM,AMM AMMB SSF,F,1,0,11,0,----,----,----,----,----,0,7.02,0,0
12/31/10 06:00 PM,AMM AMMB SSF,F,3,0,11,0,----,----,----,----,----,0,7.02,0,0
12/31/10 06:00 PM,AMM AMMB SSF,F,6,0,11,0,----,----,----,----,----,0,7.02,0,0
AW Dow Jones UBS Commodity Index Excess Return Future
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,3,0,11,0,----,----,----,----,162.3,0,159.9,15,4862
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,6,0,11,0,----,----,----,----,120.5,0,120.5,0,0
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,9,0,11,0,----,----,----,----,120.5,0,120.5,0,0
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,12,0,11,0,----,----,----,----,120.5,0,120.5,0,0
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,12,0,12,0,----,----,----,----,120.5,0,120.5,0,0
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,12,0,13,0,----,----,----,----,120.5,0,120.5,0,0
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,12,0,14,0,----,----,----,----,120.5,0,120.5,0,0
12/31/10 06:00 PM,AW Dow Jones UBS Commodity Index Excess Return Future,F,12,0,15,0,----,----,----,----,120.5,0,120.5,0,0
BCX SOYBEAN CRUSH
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,12,0,10,0,----,----,----,----,----,0,60'2,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,1,0,11,0,----,62'0,49'4,56'0,56'0,0,60'2,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,2,0,11,0,----,----,----,----,56'0,0,60'2,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,3,0,11,0,----,66'6,57'2,61'6,61'6,0,66'6,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,5,0,11,0,----,80'0,59'4,61'0,61'0,0,65'4,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,7,0,11,0,----,64'4,50'6,60'0,60'0,0,64'4,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,8,0,11,0,----,91'0,65'2,65'2,65'2,0,68'6,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,9,0,11,0,----,96'6,73'6,76'0,76'0,0,78'0,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,10,0,11,0,----,76'4,61'4,73'0,73'0,0,76'4,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,12,0,11,0,----,69'4,57'6,65'4,65'4,0,69'4,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,7,0,12,0,----,79'0,58'6,70'0,70'0,0,71'6,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,10,0,12,0,----,89'0,71'0,82'0,82'0,0,82'6,0,0
12/31/10 06:00 PM,BCX SOYBEAN CRUSH,F,12,0,12,0,----,87'6,69'6,81'0,81'0,0,81'4,0,0
BO Soybean Oil Futures
